i	j	k	temp	vel	count
1	1	1	0.0	0.0	0
1	1	2	0.0	0.0	0
1	1	3	0.0	0.0	0
1	1	4	0.0	0.0	0
1	1	5	0.0	0.0	0
1	1	6	0.0	0.0	0
1	1	7	0.0	0.0	0
1	1	8	0.0	0.0	0
1	1	9	0.0	0.0	0
1	1	10	0.0	0.0	0
1	1	11	0.0	0.0	0
1	1	12	0.0	0.0	0
1	1	13	0.0	0.0	0
1	1	14	0.0	0.0	0
1	2	1	0.0	0.0	0
1	2	2	0.0	0.0	0
1	2	3	0.0	0.0	0
1	2	4	0.0	0.0	0
1	2	5	0.0	0.0	0
1	2	6	0.0	0.0	0
1	2	7	0.0	0.0	0
1	2	8	0.0	0.0	0
1	2	9	0.0	0.0	0
1	2	10	0.0	0.0	0
1	2	11	0.0	0.0	0
1	2	12	0.0	0.0	0
1	2	13	0.0	0.0	0
1	2	14	0.0	0.0	0
1	3	1	0.0	0.0	0
1	3	2	0.0	0.0	0
1	3	3	0.0	0.0	0
1	3	4	0.0	0.0	0
1	3	5	0.0	0.0	0
1	3	6	0.0	0.0	0
1	3	7	0.0	0.0	0
1	3	8	0.0	0.0	0
1	3	9	0.0	0.0	0
1	3	10	0.0	0.0	0
1	3	11	0.0	0.0	0
1	3	12	0.0	0.0	0
1	3	13	0.0	0.0	0
1	3	14	0.0	0.0	0
1	4	1	0.0	0.0	0
1	4	2	0.0	0.0	0
1	4	3	0.0	0.0	0
1	4	4	0.0	0.0	0
1	4	5	360.576839737705	4.265323146885246	61
1	4	6	361.32240796265546	4.247590682323653	241
1	4	7	361.14750340932613	4.224511149637305	386
1	4	8	361.3224850746887	4.2475891075518675	241
1	4	9	360.57685629508205	4.265322544590164	61
1	4	10	0.0	0.0	0
1	4	11	0.0	0.0	0
1	4	12	0.0	0.0	0
1	4	13	0.0	0.0	0
1	4	14	0.0	0.0	0
1	5	1	0.0	0.0	0
1	5	2	0.0	0.0	0
1	5	3	0.0	0.0	0
1	5	4	360.5528407166666	4.264667153	60
1	5	5	361.6690489898993	4.221967006565652	297
1	5	6	362.00085899331185	4.14967142695652	299
1	5	7	362.00086332712823	4.144866051808508	376
1	5	8	362.00086019063644	4.149671025083608	299
1	5	9	361.66792689189225	4.22215701935811	296
1	5	10	360.55292260000004	4.264666167666666	60
1	5	11	0.0	0.0	0
1	5	12	0.0	0.0	0
1	5	13	0.0	0.0	0
1	5	14	0.0	0.0	0
1	6	1	0.0	0.0	0
1	6	2	0.0	0.0	0
1	6	3	0.0	0.0	0
1	6	4	361.3247024958678	4.247834611570246	242
1	6	5	362.0008594026855	4.149735450939597	298
1	6	6	362.0008607396132	4.134941188393354	361
1	6	7	362.00086030272195	4.132264925442178	294
1	6	8	362.00086065651055	4.134943059916896	361
1	6	9	362.000859889633	4.149787904581939	299
1	6	10	361.3247399132232	4.247836497107436	242
1	6	11	0.0	0.0	0
1	6	12	0.0	0.0	0
1	6	13	0.0	0.0	0
1	6	14	0.0	0.0	0
1	7	1	0.0	0.0	0
1	7	2	0.0	0.0	0
1	7	3	0.0	0.0	0
1	7	4	361.1470362409323	4.224520735259064	386
1	7	5	362.0008635623348	4.144853404641913	377
1	7	6	362.0008581224498	4.132268271632652	294
1	7	7	362.00085967479737	4.130567620447154	246
1	7	8	362.0008590510213	4.132267640680272	294
1	7	9	362.0008638063666	4.144854360875327	377
1	7	10	361.1470179870475	4.224520228834195	386
1	7	11	0.0	0.0	0
1	7	12	0.0	0.0	0
1	7	13	0.0	0.0	0
1	7	14	0.0	0.0	0
1	8	1	0.0	0.0	0
1	8	2	0.0	0.0	0
1	8	3	0.0	0.0	0
1	8	4	361.3224780829875	4.247587490829877	241
1	8	5	362.0008587692318	4.149681301471572	299
1	8	6	362.0008606537405	4.134954060193906	361
1	8	7	362.0008595612253	4.132270988027207	294
1	8	8	362.0008616786714	4.134953230637117	361
1	8	9	362.00085917056947	4.149682261973242	299
1	8	10	361.32241112448116	4.247592173900417	241
1	8	11	0.0	0.0	0
1	8	12	0.0	0.0	0
1	8	13	0.0	0.0	0
1	8	14	0.0	0.0	0
1	9	1	0.0	0.0	0
1	9	2	0.0	0.0	0
1	9	3	0.0	0.0	0
1	9	4	360.5768543114755	4.265324545737705	61
1	9	5	361.66792678716257	4.222157682905404	296
1	9	6	362.0008593666678	4.149741684466667	300
1	9	7	362.00086316445675	4.144873273687002	377
1	9	8	362.00085930537006	4.1497462724496685	298
1	9	9	361.66904755555595	4.22196759124579	297
1	9	10	360.5768412622951	4.265322083606557	61
1	9	11	0.0	0.0	0
1	9	12	0.0	0.0	0
1	9	13	0.0	0.0	0
1	9	14	0.0	0.0	0
1	10	1	0.0	0.0	0
1	10	2	0.0	0.0	0
1	10	3	0.0	0.0	0
1	10	4	0.0	0.0	0
1	10	5	360.55292514999996	4.2646672888333335	60
1	10	6	361.32473979338846	4.247837344380162	242
1	10	7	361.14661405440415	4.224530602150258	386
1	10	8	361.32470927685955	4.247839187066117	242
1	10	9	360.5528376333332	4.264666375	60
1	10	10	0.0	0.0	0
1	10	11	0.0	0.0	0
1	10	12	0.0	0.0	0
1	10	13	0.0	0.0	0
1	10	14	0.0	0.0	0
1	11	1	0.0	0.0	0
1	11	2	0.0	0.0	0
1	11	3	0.0	0.0	0
1	11	4	0.0	0.0	0
1	11	5	0.0	0.0	0
1	11	6	0.0	0.0	0
1	11	7	0.0	0.0	0
1	11	8	0.0	0.0	0
1	11	9	0.0	0.0	0
1	11	10	0.0	0.0	0
1	11	11	0.0	0.0	0
1	11	12	0.0	0.0	0
1	11	13	0.0	0.0	0
1	11	14	0.0	0.0	0
1	12	1	0.0	0.0	0
1	12	2	0.0	0.0	0
1	12	3	0.0	0.0	0
1	12	4	0.0	0.0	0
1	12	5	0.0	0.0	0
1	12	6	0.0	0.0	0
1	12	7	0.0	0.0	0
1	12	8	0.0	0.0	0
1	12	9	0.0	0.0	0
1	12	10	0.0	0.0	0
1	12	11	0.0	0.0	0
1	12	12	0.0	0.0	0
1	12	13	0.0	0.0	0
1	12	14	0.0	0.0	0
1	13	1	0.0	0.0	0
1	13	2	0.0	0.0	0
1	13	3	0.0	0.0	0
1	13	4	0.0	0.0	0
1	13	5	0.0	0.0	0
1	13	6	0.0	0.0	0
1	13	7	0.0	0.0	0
1	13	8	0.0	0.0	0
1	13	9	0.0	0.0	0
1	13	10	0.0	0.0	0
1	13	11	0.0	0.0	0
1	13	12	0.0	0.0	0
1	13	13	0.0	0.0	0
1	13	14	0.0	0.0	0
1	14	1	0.0	0.0	0
1	14	2	0.0	0.0	0
1	14	3	0.0	0.0	0
1	14	4	0.0	0.0	0
1	14	5	0.0	0.0	0
1	14	6	0.0	0.0	0
1	14	7	0.0	0.0	0
1	14	8	0.0	0.0	0
1	14	9	0.0	0.0	0
1	14	10	0.0	0.0	0
1	14	11	0.0	0.0	0
1	14	12	0.0	0.0	0
1	14	13	0.0	0.0	0
1	14	14	0.0	0.0	0
2	1	1	0.0	0.0	0
2	1	2	0.0	0.0	0
2	1	3	0.0	0.0	0
2	1	4	0.0	0.0	0
2	1	5	0.0	0.0	0
2	1	6	0.0	0.0	0
2	1	7	0.0	0.0	0
2	1	8	0.0	0.0	0
2	1	9	0.0	0.0	0
2	1	10	0.0	0.0	0
2	1	11	0.0	0.0	0
2	1	12	0.0	0.0	0
2	1	13	0.0	0.0	0
2	1	14	0.0	0.0	0
2	2	1	0.0	0.0	0
2	2	2	0.0	0.0	0
2	2	3	0.0	0.0	0
2	2	4	0.0	0.0	0
2	2	5	0.0	0.0	0
2	2	6	0.0	0.0	0
2	2	7	0.0	0.0	0
2	2	8	0.0	0.0	0
2	2	9	0.0	0.0	0
